instance_id,n,m,optimal,orig_best_sol,orig_%diff,dp_best_sol,dp_%diff,best_dp_constraint
mknap1-1,6,10,3800,0,100.0000,3800.0000,0.0000,4
mknap1-2,10,10,8706.1000,0.0000,100.0000,0.0000,100.0000,0
mknap1-3,15,10,4015.0000,0.0000,100.0000,0.0000,100.0000,0
mknap1-4,20,10,6120.0000,0.0000,100.0000,0.0000,100.0000,0
mknap1-5,28,10,12400.0000,0.0000,100.0000,0.0000,100.0000,0
mknap1-6,39,5,10618.0000,0.0000,100.0000,0.0000,100.0000,0
mknap1-7,50,5,16537.0000,0.0000,100.0000,0.0000,100.0000,0
AVERAGE,,,,,100.0000,,85.7143,
