Problem,Generation,BestCost,TimeMS
GPP,0,562,0
GPP,1,553,31
GPP,2,552,63
GPP,3,548,105
GPP,4,534,138
GPP,5,534,171
GPP,6,520,203
GPP,7,520,236
GPP,8,520,270
GPP,9,520,303
GPP,10,520,335
GPP,11,520,369
GPP,12,520,401
GPP,13,520,433
GPP,14,518,453
GPP,15,518,499
GPP,16,518,532
GPP,17,517,554
GPP,18,517,587
GPP,19,517,624
GPP,20,517,655
GPP,21,517,697
GPP,22,517,730
GPP,23,517,753
GPP,24,517,795
GPP,25,517,827
GPP,26,517,853
GPP,27,517,893
GPP,28,514,926
GPP,29,514,953
GPP,30,513,991
GPP,31,513,1023
GPP,32,513,1053
GPP,33,513,1089
GPP,34,513,1121
GPP,35,513,1153
GPP,36,513,1187
GPP,37,509,1203
GPP,38,509,1251
GPP,39,509,1283
GPP,40,509,1303
GPP,41,508,1348
GPP,42,508,1381
GPP,43,508,1403
GPP,44,506,1447
GPP,45,505,1479
GPP,46,505,1503
GPP,47,505,1544
GPP,48,505,1576
GPP,49,505,1603
GPP,50,505,1642
GPP,51,505,1674
GPP,52,502,1703
GPP,53,502,1740
GPP,54,502,1773
GPP,55,500,1803
GPP,56,500,1839
GPP,57,500,1872
GPP,58,500,1903
GPP,59,500,1940
GPP,60,500,1973
GPP,61,500,2003
GPP,62,500,2039
GPP,63,500,2071
GPP,64,500,2103
GPP,65,500,2138
GPP,66,495,2173
GPP,67,495,2203
GPP,68,492,2245
GPP,69,492,2278
GPP,70,489,2303
GPP,71,489,2345
GPP,72,489,2377
GPP,73,489,2403
GPP,74,489,2444
GPP,75,489,2476
GPP,76,489,2503
GPP,77,489,2542
GPP,78,489,2574
GPP,79,489,2602
GPP,80,489,2643
GPP,81,489,2677
GPP,82,489,2704
GPP,83,489,2743
GPP,84,489,2775
GPP,85,489,2803
GPP,86,489,2840
GPP,87,489,2873
GPP,88,487,2908
GPP,89,487,2940
GPP,90,487,2973
GPP,91,487,3006
GPP,92,487,3039
GPP,93,487,3072
GPP,94,487,3104
GPP,95,487,3139
GPP,96,487,3173
GPP,97,487,3203
GPP,98,487,3251
GPP,99,487,3285
GPP,100,487,3319
GPP,101,487,3352
GPP,102,487,3384
GPP,103,487,3403
GPP,104,487,3450
GPP,105,486,3472
GPP,106,486,3519
GPP,107,486,3537
GPP,108,480,3570
GPP,109,480,3604
GPP,110,480,3637
GPP,111,480,3671
GPP,112,480,3704
GPP,113,480,3737
GPP,114,480,3770
GPP,115,480,3804
GPP,116,480,3844
GPP,117,478,3877
GPP,118,478,3904
GPP,119,478,3937
GPP,120,478,3982
GPP,121,471,4015
GPP,122,471,4037
GPP,123,471,4071
GPP,124,471,4111
GPP,125,471,4139
GPP,126,471,4187
GPP,127,471,4220
GPP,128,471,4238
GPP,129,466,4285
GPP,130,466,4303
GPP,131,466,4349
GPP,132,466,4381
GPP,133,464,4403
GPP,134,464,4448
GPP,135,464,4481
GPP,136,463,4503
GPP,137,463,4548
GPP,138,463,4580
GPP,139,463,4603
GPP,140,463,4645
GPP,141,463,4678
GPP,142,463,4703
GPP,143,463,4742
GPP,144,458,4774
GPP,145,458,4803
GPP,146,458,4839
GPP,147,448,4871
GPP,148,448,4903
GPP,149,448,4935
GPP,150,448,4953
GPP,151,448,5000
GPP,152,448,5032
GPP,153,448,5053
GPP,154,448,5097
GPP,155,448,5129
GPP,156,448,5153
GPP,157,448,5193
GPP,158,448,5225
GPP,159,448,5253
GPP,160,448,5290
GPP,161,448,5322
GPP,162,442,5353
GPP,163,442,5386
GPP,164,442,5403
GPP,165,442,5450
GPP,166,442,5482
GPP,167,442,5503
GPP,168,442,5547
GPP,169,442,5579
GPP,170,442,5603
GPP,171,442,5644
GPP,172,442,5677
GPP,173,442,5703
GPP,174,442,5747
GPP,175,442,5779
GPP,176,442,5803
GPP,177,442,5844
GPP,178,442,5876
GPP,179,442,5903
GPP,180,442,5942
GPP,181,442,5974
GPP,182,442,6003
GPP,183,442,6039
GPP,184,442,6070
GPP,185,442,6103
GPP,186,442,6135
GPP,187,442,6153
GPP,188,442,6200
GPP,189,442,6232
GPP,190,442,6253
GPP,191,442,6297
GPP,192,442,6329
GPP,193,442,6353
GPP,194,442,6393
GPP,195,442,6425
GPP,196,442,6453
GPP,197,440,6490
GPP,198,440,6523
GPP,199,440,6553
GPP,200,440,6588
GPP,201,440,6618
GPP,202,440,6652
GPP,203,440,6684
GPP,204,440,6717
GPP,205,440,6750
GPP,206,440,6782
GPP,207,440,6803
GPP,208,440,6849
GPP,209,440,6880
GPP,210,440,6903
GPP,211,437,6945
GPP,212,437,6976
GPP,213,437,7003
GPP,214,437,7042
GPP,215,437,7073
GPP,216,435,7103
GPP,217,432,7138
GPP,218,432,7169
GPP,219,432,7202
GPP,220,432,7227
GPP,221,428,7254
GPP,222,427,7297
GPP,223,427,7328
GPP,224,426,7353
GPP,225,426,7395
GPP,226,419,7427
GPP,227,419,7454
GPP,228,417,7491
GPP,229,417,7523
GPP,230,417,7553
GPP,231,417,7586
GPP,232,411,7603
GPP,233,411,7649
GPP,234,411,7681
GPP,235,411,7703
GPP,236,411,7750
GPP,237,407,7783
GPP,238,407,7804
GPP,239,406,7835
GPP,240,406,7867
GPP,241,406,7899
GPP,242,406,7931
GPP,243,406,7962
GPP,244,406,7994
GPP,245,406,8035
GPP,246,406,8058
GPP,247,406,8090
GPP,248,406,8121
GPP,249,406,8153
GPP,250,406,8185
GPP,251,406,8232
GPP,252,406,8264
GPP,253,406,8296
GPP,254,406,8328
GPP,255,406,8360
GPP,256,406,8392
GPP,257,406,8423
GPP,258,406,8455
GPP,259,406,8486
GPP,260,406,8525
GPP,261,406,8550
GPP,262,406,8582
GPP,263,406,8614
GPP,264,402,8645
GPP,265,402,8676
GPP,266,402,8708
GPP,267,402,8740
GPP,268,402,8771
GPP,269,402,8803
GPP,270,402,8834
GPP,271,402,8866
GPP,272,402,8899
GPP,273,402,8930
GPP,274,399,8962
GPP,275,399,8993
GPP,276,399,9025
GPP,277,399,9057
GPP,278,399,9088
GPP,279,399,9120
GPP,280,397,9151
GPP,281,397,9183
GPP,282,397,9214
GPP,283,397,9246
GPP,284,397,9278
GPP,285,397,9310
GPP,286,397,9341
GPP,287,397,9373
GPP,288,397,9405
GPP,289,397,9436
GPP,290,397,9468
GPP,291,397,9500
GPP,292,396,9532
GPP,293,396,9564
GPP,294,396,9595
GPP,295,396,9627
GPP,296,396,9659
GPP,297,396,9698
GPP,298,396,9722
GPP,299,396,9753
GPP,300,396,9785
GPP,301,392,9816
GPP,302,392,9848
GPP,303,392,9880
GPP,304,392,9912
GPP,305,392,9944
GPP,306,392,9975
GPP,307,392,10007
GPP,308,391,10049
GPP,309,390,10082
GPP,310,390,10113
GPP,311,390,10146
GPP,312,390,10178
GPP,313,390,10210
GPP,314,390,10242
GPP,315,388,10274
GPP,316,388,10305
GPP,317,388,10337
GPP,318,388,10368
GPP,319,388,10401
GPP,320,388,10433
GPP,321,388,10464
GPP,322,388,10494
GPP,323,388,10526
GPP,324,388,10557
GPP,325,388,10588
GPP,326,388,10620
GPP,327,388,10651
GPP,328,387,10686
GPP,329,387,10715
GPP,330,387,10746
GPP,331,387,10778
GPP,332,387,10809
GPP,333,387,10841
GPP,334,387,10872
GPP,335,387,10904
GPP,336,384,10936
GPP,337,384,10967
GPP,338,384,10999
GPP,339,384,11031
GPP,340,382,11072
GPP,341,382,11104
GPP,342,382,11135
GPP,343,382,11166
GPP,344,382,11188
GPP,345,382,11219
GPP,346,382,11251
GPP,347,382,11283
GPP,348,382,11314
GPP,349,380,11346
GPP,350,380,11378
GPP,351,380,11409
GPP,352,377,11441
GPP,353,377,11473
GPP,354,377,11504
GPP,355,377,11536
GPP,356,377,11567
GPP,357,377,11599
GPP,358,377,11631
GPP,359,377,11662
GPP,360,377,11694
GPP,361,377,11725
GPP,362,377,11757
GPP,363,377,11788
GPP,364,377,11819
GPP,365,377,11851
GPP,366,377,11882
GPP,367,377,11914
GPP,368,377,11945
GPP,369,377,11977
GPP,370,377,12008
GPP,371,375,12040
GPP,372,375,12071
GPP,373,375,12103
GPP,374,375,12135
GPP,375,375,12166
GPP,376,375,12197
GPP,377,375,12245
GPP,378,375,12276
GPP,379,375,12308
GPP,380,375,12339
GPP,381,375,12371
GPP,382,375,12402
GPP,383,375,12434
GPP,384,375,12466
GPP,385,375,12497
GPP,386,375,12529
GPP,387,375,12560
GPP,388,375,12592
GPP,389,375,12624
GPP,390,375,12655
GPP,391,375,12686
GPP,392,375,12718
GPP,393,375,12749
GPP,394,375,12781
GPP,395,375,12813
GPP,396,375,12845
GPP,397,375,12883
GPP,398,375,12908
GPP,399,375,12939
GPP,400,375,12971
GPP,401,375,13003
GPP,402,375,13034
GPP,403,375,13066
GPP,404,375,13097
GPP,405,373,13129
GPP,406,372,13160
GPP,407,372,13191
GPP,408,372,13223
GPP,409,372,13255
GPP,410,372,13286
GPP,411,372,13318
GPP,412,372,13349
GPP,413,372,13380
GPP,414,372,13412
GPP,415,372,13444
GPP,416,372,13476
GPP,417,372,13507
GPP,418,372,13539
GPP,419,372,13571
GPP,420,372,13602
GPP,421,372,13634
GPP,422,372,13665
GPP,423,372,13697
GPP,424,372,13729
GPP,425,372,13760
GPP,426,372,13792
GPP,427,372,13824
GPP,428,368,13855
GPP,429,368,13886
GPP,430,368,13918
GPP,431,368,13950
GPP,432,367,13981
GPP,433,367,14013
GPP,434,367,14044
GPP,435,367,14088
GPP,436,367,14119
GPP,437,367,14151
GPP,438,366,14182
GPP,439,365,14203
GPP,440,365,14234
GPP,441,365,14266
GPP,442,365,14297
GPP,443,365,14329
GPP,444,365,14361
GPP,445,364,14392
GPP,446,364,14424
GPP,447,364,14455
GPP,448,364,14487
GPP,449,364,14518
GPP,450,364,14550
GPP,451,362,14582
GPP,452,362,14613
GPP,453,362,14645
GPP,454,362,14676
GPP,455,362,14717
GPP,456,362,14740
GPP,457,362,14772
GPP,458,362,14803
