Problem,Generation,BestCost,TimeMS
GPP,0,1173,0
GPP,1,1160,60
GPP,2,1160,123
GPP,3,1160,187
GPP,4,1160,266
GPP,5,1160,330
GPP,6,1160,393
GPP,7,1160,467
GPP,8,1160,533
GPP,9,1158,599
GPP,10,1152,666
GPP,11,1152,724
GPP,12,1150,788
GPP,13,1150,867
GPP,14,1150,930
GPP,15,1148,993
GPP,16,1148,1057
GPP,17,1145,1121
GPP,18,1144,1200
GPP,19,1144,1264
GPP,20,1144,1328
GPP,21,1137,1391
GPP,22,1131,1454
GPP,23,1131,1533
GPP,24,1131,1597
GPP,25,1131,1660
GPP,26,1131,1723
GPP,27,1131,1786
GPP,28,1131,1865
GPP,29,1131,1928
GPP,30,1131,1991
GPP,31,1131,2055
GPP,32,1131,2119
GPP,33,1131,2182
GPP,34,1131,2263
GPP,35,1131,2325
GPP,36,1131,2388
GPP,37,1131,2452
GPP,38,1131,2516
GPP,39,1131,2578
GPP,40,1119,2658
GPP,41,1119,2722
GPP,42,1119,2785
GPP,43,1119,2847
GPP,44,1119,2910
GPP,45,1119,2974
GPP,46,1119,3053
GPP,47,1119,3116
GPP,48,1119,3179
GPP,49,1119,3242
GPP,50,1119,3305
GPP,51,1119,3368
GPP,52,1119,3447
GPP,53,1119,3511
GPP,54,1117,3574
GPP,55,1117,3637
GPP,56,1117,3700
GPP,57,1117,3779
GPP,58,1117,3843
GPP,59,1117,3907
GPP,60,1117,3971
GPP,61,1117,4034
GPP,62,1117,4097
GPP,63,1117,4176
GPP,64,1117,4244
GPP,65,1117,4311
GPP,66,1117,4375
GPP,67,1114,4443
GPP,68,1114,4509
GPP,69,1114,4574
GPP,70,1114,4639
GPP,71,1082,4706
GPP,72,1082,4772
GPP,73,1082,4837
GPP,74,1082,4903
GPP,75,1082,4966
GPP,76,1079,5035
GPP,77,1078,5102
GPP,78,1078,5166
GPP,79,1078,5234
GPP,80,1078,5297
GPP,81,1078,5360
GPP,82,1078,5423
GPP,83,1078,5486
GPP,84,1078,5550
GPP,85,1078,5629
GPP,86,1077,5695
GPP,87,1073,5755
GPP,88,1072,5818
GPP,89,1065,5881
GPP,90,1065,5944
GPP,91,1065,6024
GPP,92,1065,6087
GPP,93,1065,6150
GPP,94,1065,6215
GPP,95,1065,6276
GPP,96,1063,6355
GPP,97,1063,6417
GPP,98,1063,6486
GPP,99,1063,6553
GPP,100,1063,6618
GPP,101,1063,6684
GPP,102,1063,6748
GPP,103,1063,6816
GPP,104,1063,6882
GPP,105,1063,6948
GPP,106,1063,7017
GPP,107,1063,7080
GPP,108,1063,7143
GPP,109,1063,7211
GPP,110,1059,7278
GPP,111,1059,7345
GPP,112,1059,7411
GPP,113,1059,7478
GPP,114,1054,7544
GPP,115,1054,7611
GPP,116,1054,7677
GPP,117,1054,7744
GPP,118,1054,7811
GPP,119,1054,7877
GPP,120,1054,7946
GPP,121,1050,8012
GPP,122,1048,8078
GPP,123,1042,8145
GPP,124,1042,8211
GPP,125,1039,8277
GPP,126,1037,8344
GPP,127,1029,8418
GPP,128,1029,8478
GPP,129,1029,8545
GPP,130,1029,8611
GPP,131,1016,8682
GPP,132,1015,8746
GPP,133,1015,8812
GPP,134,1015,8877
GPP,135,1015,8943
GPP,136,1015,9008
GPP,137,1014,9073
GPP,138,1014,9126
GPP,139,1009,9189
GPP,140,1009,9269
GPP,141,1009,9332
GPP,142,1001,9395
GPP,143,996,9458
GPP,144,996,9521
GPP,145,996,9584
GPP,146,996,9663
GPP,147,996,9726
GPP,148,996,9789
GPP,149,996,9852
GPP,150,996,9914
GPP,151,996,9993
GPP,152,996,10056
GPP,153,993,10119
GPP,154,993,10182
GPP,155,993,10245
GPP,156,989,10308
GPP,157,989,10387
GPP,158,989,10450
GPP,159,985,10514
GPP,160,985,10577
GPP,161,985,10639
GPP,162,985,10718
GPP,163,978,10782
GPP,164,978,10845
GPP,165,978,10919
GPP,166,978,10984
GPP,167,978,11050
GPP,168,978,11113
GPP,169,978,11179
GPP,170,977,11245
GPP,171,977,11309
GPP,172,973,11374
GPP,173,972,11438
GPP,174,969,11502
GPP,175,967,11567
GPP,176,966,11631
GPP,177,966,11697
GPP,178,963,11761
GPP,179,963,11825
GPP,180,963,11890
GPP,181,962,11940
GPP,182,962,12019
GPP,183,954,12081
GPP,184,954,12144
GPP,185,954,12214
GPP,186,954,12278
GPP,187,951,12342
GPP,188,950,12407
GPP,189,950,12472
GPP,190,944,12536
GPP,191,944,12601
GPP,192,943,12665
GPP,193,937,12730
GPP,194,936,12796
GPP,195,936,12859
GPP,196,936,12925
GPP,197,936,12991
GPP,198,936,13043
GPP,199,936,13106
GPP,200,935,13185
GPP,201,929,13248
GPP,202,929,13312
GPP,203,929,13376
GPP,204,929,13439
GPP,205,929,13502
GPP,206,929,13565
GPP,207,929,13646
GPP,208,929,13711
GPP,209,929,13770
GPP,210,929,13833
GPP,211,929,13896
GPP,212,929,13959
GPP,213,929,14038
GPP,214,929,14101
GPP,215,929,14170
GPP,216,929,14228
GPP,217,929,14291
GPP,218,929,14354
GPP,219,929,14417
GPP,220,929,14496
GPP,221,929,14559
GPP,222,929,14622
GPP,223,929,14685
GPP,224,929,14748
GPP,225,928,14811
GPP,226,928,14890
GPP,227,928,14953
GPP,228,928,15016
GPP,229,920,15080
GPP,230,920,15143
GPP,231,920,15206
GPP,232,920,15269
GPP,233,920,15333
GPP,234,920,15411
GPP,235,916,15474
GPP,236,916,15537
GPP,237,916,15601
GPP,238,916,15664
GPP,239,910,15728
GPP,240,910,15791
GPP,241,910,15854
GPP,242,910,15917
GPP,243,910,15996
GPP,244,909,16059
GPP,245,905,16122
GPP,246,905,16190
GPP,247,902,16248
GPP,248,902,16311
GPP,249,902,16375
GPP,250,902,16439
GPP,251,891,16502
GPP,252,891,16565
GPP,253,891,16628
GPP,254,891,16692
GPP,255,891,16755
GPP,256,891,16818
GPP,257,891,16897
GPP,258,890,16961
GPP,259,890,17024
GPP,260,890,17087
